session_id,services,services_str
1011_2023-05-03 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1011_2023-08-20 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1011_2023-09-25 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1011_2024-03-22 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1011_2024-04-13 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1011_2024-10-28 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1011_2024-11-02 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1011_2025-06-15 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1012_2023-03-07 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1012_2023-06-02 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1012_2023-06-07 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1012_2023-06-26 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1012_2023-10-10 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1012_2023-12-07 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1012_2024-03-31 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1012_2024-11-03 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1012_2024-11-28 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1012_2025-04-22 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1012_2025-08-19 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1012_2025-09-24 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1013_2022-12-25 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1013_2023-06-15 15:00:00,"[20, 17, 6, 9, 5]","20,17,6,9,5"
1013_2023-08-09 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1013_2023-11-03 15:00:00,"[13, 1, 10, 4, 18]","13,1,10,4,18"
1013_2024-12-08 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1013_2025-07-28 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1013_2025-09-14 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1014_2023-07-19 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1014_2024-03-12 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1014_2024-04-08 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1014_2024-09-29 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1014_2024-11-29 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1014_2024-12-28 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1014_2025-01-11 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1014_2025-01-13 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1015_2022-11-20 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1015_2023-08-22 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1015_2024-03-19 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1015_2024-05-05 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1015_2024-12-05 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1015_2025-07-19 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1016_2023-09-05 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1016_2023-11-01 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1016_2023-12-09 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1016_2024-01-31 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1016_2024-06-03 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1016_2025-01-23 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1016_2025-08-29 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1016_2025-09-05 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1017_2023-02-16 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1017_2023-02-21 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1017_2023-08-02 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1017_2023-08-12 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1017_2023-12-10 15:00:00,"[20, 17, 6, 9, 4]","20,17,6,9,4"
1017_2024-01-04 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1017_2024-03-19 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1017_2024-04-26 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1017_2024-06-29 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1017_2024-07-28 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1017_2024-08-15 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1017_2025-01-19 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1017_2025-02-08 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1017_2025-03-03 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1017_2025-03-04 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1017_2025-06-18 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1017_2025-09-03 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1017_2025-11-04 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1018_2023-02-08 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1018_2023-03-03 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1018_2023-03-28 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1018_2023-06-01 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1018_2024-03-04 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1018_2024-03-22 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1018_2025-10-23 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1019_2023-02-20 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1019_2023-06-23 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1019_2023-09-22 15:00:00,"[20, 17, 6, 9, 3]","20,17,6,9,3"
1019_2023-10-13 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1019_2024-01-23 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1019_2024-07-03 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1019_2025-03-19 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1019_2025-06-22 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1019_2025-07-04 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1019_2025-08-15 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1019_2025-08-25 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
101_2023-01-16 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
101_2023-03-28 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
101_2024-04-05 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
101_2024-05-19 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
101_2024-08-16 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
101_2024-09-17 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
101_2024-10-04 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
101_2025-10-24 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1020_2023-06-25 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1020_2023-07-23 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1020_2023-08-05 15:00:00,"[20, 17, 6, 9, 16]","20,17,6,9,16"
1020_2023-12-23 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1020_2024-02-10 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1020_2024-03-26 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1020_2024-05-06 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1020_2024-11-13 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1020_2024-11-19 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1020_2025-04-22 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1020_2025-05-02 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1020_2025-05-03 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1020_2025-06-15 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1021_2022-11-23 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1021_2023-01-07 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1021_2023-01-09 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1021_2023-02-25 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1021_2023-05-02 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1021_2023-06-28 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1021_2023-09-13 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1021_2024-06-03 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1021_2024-12-01 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1021_2024-12-11 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1021_2024-12-29 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1021_2025-03-02 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1022_2023-04-23 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1022_2023-05-20 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1022_2023-07-11 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1022_2023-07-29 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1022_2023-12-05 15:00:00,"[20, 17, 6, 9, 2]","20,17,6,9,2"
1022_2023-12-07 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1022_2024-11-25 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1022_2025-01-04 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1022_2025-06-22 15:00:00,"[20, 17, 6, 9, 1]","20,17,6,9,1"
1022_2025-07-15 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1022_2025-08-12 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1022_2025-09-26 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1023_2023-01-01 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1023_2023-01-02 15:00:00,"[20, 17, 6, 9, 3]","20,17,6,9,3"
1023_2023-10-31 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1023_2023-11-02 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1023_2023-11-12 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1023_2024-01-27 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1023_2024-02-08 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1023_2024-07-05 15:00:00,"[20, 17, 6, 9, 8]","20,17,6,9,8"
1023_2024-07-06 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1023_2024-07-29 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1023_2025-05-20 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1024_2023-05-08 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1024_2023-05-27 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1024_2023-06-05 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1024_2023-07-16 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1024_2023-09-17 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1024_2023-10-27 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1024_2024-06-06 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1024_2024-10-19 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1024_2024-12-05 15:00:00,"[20, 17, 6, 9, 10]","20,17,6,9,10"
1024_2024-12-25 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1024_2025-09-05 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1025_2022-11-20 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1025_2022-12-13 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1025_2024-02-27 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1025_2024-03-03 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1025_2024-04-27 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1025_2024-05-15 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1025_2024-07-13 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1025_2025-01-31 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1025_2025-09-22 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1026_2022-12-17 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1026_2023-02-16 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1026_2023-03-01 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1026_2023-04-02 15:00:00,"[20, 17, 6, 9, 1]","20,17,6,9,1"
1026_2023-07-16 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1026_2024-05-11 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1026_2025-01-26 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1026_2025-04-25 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1026_2025-07-15 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1027_2022-12-15 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1027_2022-12-23 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1027_2023-01-26 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1027_2023-03-26 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1027_2024-01-25 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1027_2024-02-18 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1027_2024-07-16 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1027_2024-08-30 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1027_2024-09-23 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1027_2024-11-18 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1027_2025-04-17 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1027_2025-05-05 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1027_2025-11-04 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1028_2023-01-25 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1028_2023-06-01 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1028_2023-08-10 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1028_2023-10-19 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1028_2024-06-19 15:00:00,"[20, 17, 6, 9, 8]","20,17,6,9,8"
1028_2024-08-12 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1028_2024-11-18 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1028_2024-11-27 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1028_2025-03-23 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1029_2022-12-13 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1029_2023-06-04 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1029_2023-07-06 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1029_2023-08-04 15:00:00,"[20, 17, 6, 9, 16]","20,17,6,9,16"
1029_2023-08-30 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1029_2023-12-01 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1029_2024-02-01 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1029_2024-09-24 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1029_2025-07-20 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
102_2022-12-05 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
102_2023-01-05 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
102_2023-01-12 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
102_2023-02-12 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
