session_id,services
17_5,"[13, 10, 1, 4, 18]"
18_0,"[15, 18, 17, 6, 16]"
18_1,"[10, 13, 4, 11, 16]"
18_2,"[6, 18, 19, 15, 17]"
18_3,"[12, 1, 11, 7, 9]"
18_4,"[18, 6, 15, 8, 5]"
18_5,"[13, 10, 1, 4, 18]"
18_6,"[7, 1, 18, 12, 2]"
18_7,"[13, 10, 1, 4, 18]"
18_8,"[17, 15, 1, 9, 20]"
18_9,"[15, 18, 17, 6, 16]"
18_10,"[16, 1, 10, 15, 12]"
18_11,"[1, 14, 7, 12, 13]"
19_0,"[9, 17, 12, 13, 15]"
19_1,"[16, 1, 10, 15, 12]"
19_2,"[3, 2, 19, 13, 4]"
19_3,"[14, 1, 11, 2, 18]"
19_4,"[18, 6, 15, 8, 5]"
19_5,"[4, 13, 10, 12, 17]"
19_6,"[3, 2, 19, 13, 4]"
20_0,"[17, 15, 1, 9, 20]"
20_1,"[5, 18, 2, 8, 1]"
20_2,"[14, 1, 11, 2, 18]"
20_3,"[19, 3, 6, 12, 1]"
20_4,"[5, 18, 2, 8, 1]"
20_5,"[12, 1, 11, 7, 9]"
20_6,"[7, 1, 18, 12, 2]"
20_7,"[18, 6, 15, 8, 5]"
20_8,"[20, 17, 6, 9, 8]"
20_9,"[2, 3, 5, 8, 7]"
21_0,"[9, 17, 12, 13, 15]"
21_1,"[14, 1, 11, 2, 18]"
21_2,"[13, 10, 1, 4, 18]"
21_3,"[11, 8, 12, 10, 14]"
21_4,"[12, 1, 11, 7, 9]"
21_5,"[15, 18, 17, 6, 16]"
21_6,"[4, 13, 10, 12, 17]"
21_7,"[13, 10, 1, 4, 18]"
21_8,"[18, 6, 15, 8, 5]"
21_9,"[13, 10, 1, 4, 18]"
21_10,"[18, 6, 15, 8, 5]"
21_11,"[16, 1, 10, 15, 12]"
22_0,"[18, 6, 15, 8, 5]"
22_1,"[12, 1, 11, 7, 9]"
22_2,"[18, 6, 15, 8, 5]"
22_3,"[12, 1, 11, 7, 9]"
22_4,"[11, 8, 12, 10, 14]"
22_5,"[15, 18, 17, 6, 16]"
22_6,"[10, 13, 4, 11, 16]"
22_7,"[20, 17, 6, 9, 4]"
22_8,"[20, 17, 6, 9, 11]"
22_9,"[9, 17, 12, 13, 15]"
22_10,"[11, 8, 12, 10, 14]"
22_11,"[2, 3, 5, 8, 7]"
22_12,"[4, 13, 10, 12, 17]"
22_13,"[15, 18, 17, 6, 16]"
22_14,"[6, 18, 19, 15, 17]"
23_0,"[9, 17, 12, 13, 15]"
23_1,"[7, 1, 18, 12, 2]"
23_2,"[20, 17, 6, 9, 19]"
23_3,"[18, 6, 15, 8, 5]"
23_4,"[4, 13, 10, 12, 17]"
23_5,"[4, 13, 10, 12, 17]"
23_6,"[12, 1, 11, 7, 9]"
23_7,"[2, 3, 5, 8, 7]"
23_8,"[3, 2, 19, 13, 4]"
23_9,"[15, 18, 17, 6, 16]"
23_10,"[11, 8, 12, 10, 14]"
23_11,"[10, 13, 4, 11, 16]"
24_0,"[14, 1, 11, 2, 18]"
24_1,"[5, 18, 2, 8, 1]"
24_2,"[16, 1, 10, 15, 12]"
24_3,"[5, 18, 2, 8, 1]"
24_4,"[11, 8, 12, 10, 14]"
24_5,"[15, 18, 17, 6, 16]"
24_6,"[3, 2, 19, 13, 4]"
24_7,"[17, 15, 1, 9, 20]"
24_8,"[1, 14, 7, 12, 13]"
24_9,"[3, 2, 19, 13, 4]"
24_10,"[10, 13, 4, 11, 16]"
24_11,"[10, 13, 4, 11, 16]"
24_12,"[10, 13, 4, 11, 16]"
24_13,"[19, 3, 6, 12, 1]"
24_14,"[11, 8, 12, 10, 14]"
25_0,"[2, 3, 5, 8, 7]"
25_1,"[7, 1, 18, 12, 2]"
25_2,"[7, 1, 18, 12, 2]"
25_3,"[15, 18, 17, 6, 16]"
25_4,"[15, 18, 17, 6, 16]"
25_5,"[13, 10, 1, 4, 18]"
25_6,"[4, 13, 10, 12, 17]"
25_7,"[18, 6, 15, 8, 5]"
26_0,"[16, 1, 10, 15, 12]"
26_1,"[19, 3, 6, 12, 1]"
26_2,"[8, 11, 18, 5, 2]"
26_3,"[8, 11, 18, 5, 2]"
26_4,"[19, 3, 6, 12, 1]"
26_5,"[11, 8, 12, 10, 14]"
27_0,"[1, 14, 7, 12, 13]"
27_1,"[9, 17, 12, 13, 15]"
27_2,"[3, 2, 19, 13, 4]"
27_3,"[14, 1, 11, 2, 18]"
27_4,"[7, 1, 18, 12, 2]"
27_5,"[10, 13, 4, 11, 16]"
27_6,"[16, 1, 10, 15, 12]"
27_7,"[1, 14, 7, 12, 13]"
27_8,"[9, 17, 12, 13, 15]"
27_9,"[1, 14, 7, 12, 13]"
27_10,"[4, 13, 10, 12, 17]"
27_11,"[16, 1, 10, 15, 12]"
27_12,"[13, 10, 1, 4, 18]"
27_13,"[18, 6, 15, 8, 5]"
27_14,"[5, 18, 2, 8, 1]"
28_0,"[20, 17, 6, 9, 14]"
28_1,"[13, 10, 1, 4, 18]"
28_2,"[13, 10, 1, 4, 18]"
28_3,"[19, 3, 6, 12, 1]"
28_4,"[5, 18, 2, 8, 1]"
28_5,"[2, 3, 5, 8, 7]"
28_6,"[19, 3, 6, 12, 1]"
28_7,"[5, 18, 2, 8, 1]"
28_8,"[3, 2, 19, 13, 4]"
28_9,"[16, 1, 10, 15, 12]"
29_0,"[13, 10, 1, 4, 18]"
29_1,"[9, 17, 12, 13, 15]"
29_2,"[12, 1, 11, 7, 9]"
29_3,"[15, 18, 17, 6, 16]"
29_4,"[19, 3, 6, 12, 1]"
29_5,"[17, 15, 1, 9, 20]"
29_6,"[2, 3, 5, 8, 7]"
29_7,"[14, 1, 11, 2, 18]"
29_8,"[13, 10, 1, 4, 18]"
29_9,"[2, 3, 5, 8, 7]"
29_10,"[10, 13, 4, 11, 16]"
30_0,"[9, 17, 12, 13, 15]"
30_1,"[2, 3, 5, 8, 7]"
30_2,"[8, 11, 18, 5, 2]"
30_3,"[7, 1, 18, 12, 2]"
30_4,"[5, 18, 2, 8, 1]"
30_5,"[2, 3, 5, 8, 7]"
30_6,"[5, 18, 2, 8, 1]"
30_7,"[17, 15, 1, 9, 20]"
30_8,"[19, 3, 6, 12, 1]"
31_0,"[13, 10, 1, 4, 18]"
31_1,"[2, 3, 5, 8, 7]"
31_2,"[1, 14, 7, 12, 13]"
31_3,"[20, 17, 6, 9, 13]"
31_4,"[13, 10, 1, 4, 18]"
31_5,"[6, 18, 19, 15, 17]"
32_0,"[6, 18, 19, 15, 17]"
32_1,"[18, 6, 15, 8, 5]"
32_2,"[2, 3, 5, 8, 7]"
32_3,"[17, 15, 1, 9, 20]"
32_4,"[20, 17, 6, 9, 18]"
32_5,"[16, 1, 10, 15, 12]"
32_6,"[16, 1, 10, 15, 12]"
32_7,"[11, 8, 12, 10, 14]"
32_8,"[20, 17, 6, 9, 14]"
32_9,"[5, 18, 2, 8, 1]"
33_0,"[20, 17, 6, 9, 19]"
33_1,"[5, 18, 2, 8, 1]"
33_2,"[9, 17, 12, 13, 15]"
33_3,"[13, 10, 1, 4, 18]"
33_4,"[10, 13, 4, 11, 16]"
33_5,"[6, 18, 19, 15, 17]"
33_6,"[9, 17, 12, 13, 15]"
33_7,"[7, 1, 18, 12, 2]"
33_8,"[11, 8, 12, 10, 14]"
33_9,"[19, 3, 6, 12, 1]"
34_0,"[15, 18, 17, 6, 16]"
34_1,"[6, 18, 19, 15, 17]"
34_2,"[14, 1, 11, 2, 18]"
34_3,"[15, 18, 17, 6, 16]"
34_4,"[16, 1, 10, 15, 12]"
34_5,"[13, 10, 1, 4, 18]"
34_6,"[7, 1, 18, 12, 2]"
34_7,"[4, 13, 10, 12, 17]"
34_8,"[7, 1, 18, 12, 2]"
34_9,"[17, 15, 1, 9, 20]"
34_10,"[15, 18, 17, 6, 16]"
34_11,"[18, 6, 15, 8, 5]"
34_12,"[5, 18, 2, 8, 1]"
35_0,"[10, 13, 4, 11, 16]"
35_1,"[5, 18, 2, 8, 1]"
35_2,"[15, 18, 17, 6, 16]"
35_3,"[12, 1, 11, 7, 9]"
35_4,"[2, 3, 5, 8, 7]"
35_5,"[12, 1, 11, 7, 9]"
35_6,"[17, 15, 1, 9, 20]"
35_7,"[14, 1, 11, 2, 18]"
35_8,"[17, 15, 1, 9, 20]"
35_9,"[10, 15, 13, 4, 11]"
36_0,"[11, 8, 12, 10, 14]"
36_1,"[7, 1, 18, 12, 2]"
36_2,"[10, 13, 4, 11, 16]"
36_3,"[17, 15, 1, 9, 20]"
36_4,"[17, 15, 1, 9, 20]"
36_5,"[12, 1, 11, 7, 9]"
36_6,"[11, 8, 12, 10, 14]"
36_7,"[13, 10, 1, 4, 18]"
36_8,"[10, 13, 4, 11, 16]"
36_9,"[6, 18, 19, 15, 17]"
36_10,"[14, 1, 11, 2, 18]"
36_11,"[6, 18, 19, 15, 17]"
37_0,"[5, 18, 2, 8, 1]"
37_1,"[14, 1, 11, 2, 18]"
37_2,"[16, 1, 10, 15, 12]"
37_3,"[9, 17, 12, 13, 15]"
37_4,"[1, 14, 7, 12, 13]"
37_5,"[20, 17, 6, 9, 1]"
37_6,"[15, 18, 17, 6, 16]"
37_7,"[8, 11, 18, 5, 2]"
37_8,"[5, 18, 2, 8, 1]"
37_9,"[1, 14, 7, 12, 13]"
37_10,"[1, 14, 7, 12, 13]"
37_11,"[1, 14, 7, 12, 13]"
38_0,"[9, 17, 12, 13, 15]"
38_1,"[20, 17, 6, 9, 14]"
38_2,"[4, 13, 10, 12, 17]"
38_3,"[9, 17, 12, 13, 15]"
38_4,"[16, 1, 10, 15, 12]"
38_5,"[6, 18, 19, 15, 17]"
38_6,"[10, 13, 4, 11, 16]"
38_7,"[16, 1, 10, 15, 12]"
38_8,"[11, 8, 12, 10, 14]"
38_9,"[9, 17, 12, 13, 15]"
38_10,"[4, 13, 10, 12, 17]"
39_0,"[6, 18, 19, 15, 17]"
39_1,"[16, 1, 10, 15, 12]"
39_2,"[8, 11, 18, 5, 2]"
39_3,"[2, 3, 5, 8, 7]"
39_4,"[13, 10, 1, 4, 18]"
39_5,"[8, 11, 18, 5, 2]"
39_6,"[1, 14, 7, 12, 13]"
39_7,"[1, 14, 7, 12, 13]"
40_0,"[18, 6, 15, 8, 5]"
40_1,"[2, 3, 5, 8, 7]"
40_2,"[17, 15, 1, 9, 20]"
40_3,"[10, 13, 4, 11, 16]"
40_4,"[6, 18, 19, 15, 17]"
40_5,"[9, 17, 12, 13, 15]"
40_6,"[2, 3, 5, 8, 7]"
40_7,"[10, 13, 4, 11, 16]"
40_8,"[6, 18, 19, 15, 17]"
40_9,"[8, 11, 18, 5, 2]"
41_0,"[5, 18, 2, 8, 1]"
41_1,"[17, 15, 1, 9, 20]"
41_2,"[7, 1, 18, 12, 2]"
41_3,"[20, 17, 6, 9, 13]"
41_4,"[6, 18, 19, 15, 17]"
41_5,"[17, 15, 1, 9, 20]"
41_6,"[15, 18, 17, 6, 16]"
41_7,"[14, 1, 11, 2, 18]"
41_8,"[8, 11, 18, 5, 2]"
41_9,"[12, 1, 11, 7, 9]"
42_0,"[7, 1, 18, 12, 2]"
42_1,"[1, 14, 7, 12, 13]"
42_2,"[11, 8, 12, 10, 14]"
42_3,"[7, 1, 18, 12, 2]"
42_4,"[19, 3, 6, 12, 1]"
42_5,"[18, 6, 15, 8, 5]"
42_6,"[6, 18, 19, 15, 17]"
42_7,"[11, 8, 12, 10, 14]"
42_8,"[1, 14, 7, 12, 13]"
42_9,"[16, 1, 10, 15, 12]"
42_10,"[2, 3, 5, 8, 7]"
42_11,"[9, 17, 12, 13, 15]"
42_12,"[14, 1, 11, 2, 18]"
42_13,"[12, 1, 11, 7, 9]"
42_14,"[14, 1, 11, 2, 18]"
42_15,"[14, 1, 11, 2, 18]"
42_16,"[5, 18, 2, 8, 1]"
42_17,"[9, 17, 12, 13, 15]"
43_0,"[13, 10, 1, 4, 18]"
43_1,"[6, 18, 19, 15, 17]"
43_2,"[20, 17, 6, 9, 12]"
43_3,"[2, 3, 5, 8, 7]"
43_4,"[7, 1, 18, 12, 2]"
43_5,"[6, 18, 19, 15, 17]"
43_6,"[10, 13, 4, 11, 16]"
43_7,"[8, 11, 18, 5, 2]"
43_8,"[6, 18, 19, 15, 17]"
44_0,"[4, 13, 10, 12, 17]"
44_1,"[16, 1, 10, 15, 12]"
44_2,"[8, 11, 18, 5, 2]"
44_3,"[19, 3, 6, 12, 1]"
44_4,"[16, 1, 10, 15, 12]"
44_5,"[7, 1, 18, 12, 2]"
44_6,"[15, 18, 17, 6, 16]"
44_7,"[20, 17, 6, 9, 18]"
44_8,"[13, 10, 1, 4, 18]"
45_0,"[13, 10, 1, 4, 18]"
45_1,"[15, 18, 17, 6, 16]"
45_2,"[5, 18, 2, 8, 1]"
45_3,"[16, 1, 10, 15, 12]"
45_4,"[6, 18, 19, 15, 17]"
45_5,"[7, 1, 18, 12, 2]"
45_6,"[10, 13, 4, 11, 16]"
45_7,"[19, 3, 6, 12, 1]"
45_8,"[3, 2, 19, 13, 4]"
46_0,"[13, 10, 1, 4, 18]"
46_1,"[5, 18, 2, 8, 1]"
46_2,"[2, 3, 5, 8, 7]"
46_3,"[15, 18, 17, 6, 16]"
46_4,"[2, 3, 5, 8, 7]"
46_5,"[14, 1, 11, 2, 18]"
46_6,"[13, 10, 1, 4, 18]"
46_7,"[9, 17, 12, 13, 15]"
46_8,"[11, 8, 12, 10, 14]"
46_9,"[13, 10, 1, 4, 18]"
46_10,"[9, 17, 12, 13, 15]"
46_11,"[13, 10, 1, 4, 18]"
46_12,"[19, 3, 6, 12, 1]"
46_13,"[1, 14, 7, 12, 13]"
46_14,"[8, 11, 18, 5, 2]"
46_15,"[9, 17, 12, 13, 15]"
47_0,"[6, 18, 19, 15, 17]"
47_1,"[17, 15, 1, 9, 20]"
47_2,"[4, 13, 10, 12, 17]"
48_0,"[18, 6, 15, 8, 5]"
48_1,"[12, 1, 11, 7, 9]"
48_2,"[19, 3, 6, 12, 1]"
48_3,"[18, 6, 15, 8, 5]"
48_4,"[10, 13, 4, 11, 16]"
48_5,"[14, 1, 11, 2, 18]"
48_6,"[13, 10, 1, 4, 18]"
48_7,"[7, 1, 18, 12, 2]"
48_8,"[20, 17, 6, 9, 2]"
49_0,"[6, 18, 19, 15, 17]"
49_1,"[1, 14, 7, 12, 13]"
49_2,"[7, 1, 18, 12, 2]"
49_3,"[8, 7, 11, 18, 5]"
49_4,"[12, 1, 11, 7, 9]"
49_5,"[12, 1, 11, 7, 9]"
49_6,"[17, 15, 1, 9, 20]"
49_7,"[10, 13, 4, 11, 16]"
50_0,"[10, 13, 4, 11, 16]"
50_1,"[8, 11, 18, 5, 2]"
50_2,"[11, 8, 12, 10, 14]"
50_3,"[9, 17, 12, 13, 15]"
50_4,"[14, 1, 11, 2, 18]"
50_5,"[2, 3, 5, 8, 7]"
50_6,"[20, 17, 6, 9, 8]"
50_7,"[4, 13, 10, 12, 17]"
50_8,"[4, 13, 10, 12, 17]"
50_9,"[3, 2, 19, 13, 4]"
51_0,"[6, 18, 19, 15, 17]"
51_1,"[6, 18, 19, 15, 17]"
51_2,"[14, 1, 11, 2, 18]"
51_3,"[2, 3, 5, 8, 7]"
51_4,"[7, 1, 18, 12, 2]"
51_5,"[11, 8, 12, 10, 14]"
51_6,"[3, 2, 19, 13, 4]"
51_7,"[6, 18, 19, 15, 17]"
51_8,"[13, 10, 1, 4, 18]"
51_9,"[5, 18, 2, 8, 1]"
51_10,"[3, 2, 19, 13, 4]"
52_0,"[12, 1, 11, 7, 9]"
52_1,"[13, 10, 1, 4, 18]"
52_2,"[3, 2, 19, 13, 4]"
52_3,"[9, 17, 12, 13, 15]"
52_4,"[3, 2, 19, 13, 4]"
52_5,"[3, 2, 19, 13, 4]"
52_6,"[18, 6, 15, 8, 5]"
52_7,"[19, 3, 6, 12, 1]"
52_8,"[15, 18, 17, 6, 16]"
52_9,"[13, 10, 1, 4, 18]"
52_10,"[4, 13, 10, 12, 17]"
52_11,"[13, 10, 1, 4, 18]"
52_12,"[10, 13, 4, 11, 16]"
52_13,"[17, 15, 1, 9, 20]"
53_0,"[3, 2, 19, 13, 4]"
53_1,"[5, 18, 2, 8, 1]"
53_2,"[18, 6, 15, 8, 5]"
53_3,"[13, 10, 1, 4, 18]"
53_4,"[8, 11, 18, 5, 2]"
53_5,"[14, 1, 11, 2, 18]"
53_6,"[17, 15, 1, 9, 20]"
53_7,"[1, 14, 7, 12, 13]"
53_8,"[16, 1, 10, 15, 12]"
53_9,"[12, 1, 11, 7, 9]"
53_10,"[18, 6, 15, 8, 5]"
53_11,"[11, 8, 12, 10, 14]"
53_12,"[4, 13, 10, 12, 17]"
53_13,"[1, 14, 7, 12, 13]"
54_0,"[19, 3, 6, 12, 1]"
54_1,"[3, 2, 19, 13, 4]"
54_2,"[14, 1, 11, 2, 18]"
54_3,"[5, 18, 2, 8, 1]"
54_4,"[20, 17, 6, 9, 11]"
54_5,"[13, 10, 1, 4, 18]"
54_6,"[2, 3, 5, 8, 7]"
54_7,"[9, 17, 12, 13, 15]"
55_0,"[15, 18, 17, 6, 16]"
55_1,"[16, 1, 10, 15, 12]"
55_2,"[6, 18, 19, 15, 17]"
55_3,"[9, 17, 12, 13, 15]"
55_4,"[6, 18, 19, 15, 17]"
55_5,"[18, 6, 15, 8, 5]"
55_6,"[18, 6, 15, 8, 5]"
55_7,"[14, 1, 11, 2, 18]"
55_8,"[12, 1, 11, 7, 9]"
55_9,"[12, 1, 11, 7, 9]"
56_0,"[16, 1, 10, 15, 12]"
56_1,"[20, 17, 6, 9, 19]"
56_2,"[2, 3, 5, 8, 7]"
56_3,"[13, 10, 1, 4, 18]"
56_4,"[19, 3, 6, 12, 1]"
56_5,"[4, 13, 10, 12, 17]"
56_6,"[10, 13, 4, 11, 16]"
57_0,"[20, 17, 6, 9, 3]"
57_1,"[8, 11, 18, 5, 2]"
57_2,"[11, 8, 12, 10, 14]"
57_3,"[11, 8, 12, 10, 14]"
57_4,"[16, 1, 10, 15, 12]"
57_5,"[15, 18, 17, 6, 16]"
57_6,"[19, 3, 6, 12, 1]"
57_7,"[5, 18, 2, 8, 1]"
57_8,"[19, 3, 6, 12, 1]"
58_0,"[14, 1, 11, 2, 18]"
58_1,"[14, 1, 11, 2, 18]"
58_2,"[8, 11, 18, 5, 2]"
58_3,"[2, 3, 5, 8, 7]"
58_4,"[12, 1, 11, 7, 9]"
58_5,"[17, 15, 1, 9, 20]"
58_6,"[1, 14, 7, 12, 13]"
58_7,"[13, 10, 1, 4, 18]"
59_0,"[16, 1, 10, 15, 12]"
59_1,"[7, 1, 18, 12, 2]"
59_2,"[11, 8, 12, 10, 14]"
59_3,"[7, 1, 18, 12, 2]"
59_4,"[6, 18, 19, 15, 17]"
59_5,"[16, 1, 10, 15, 12]"
59_6,"[1, 14, 7, 12, 13]"
60_0,"[2, 3, 5, 8, 7]"
60_1,"[1, 14, 7, 12, 13]"
60_2,"[15, 18, 17, 6, 16]"
60_3,"[15, 18, 17, 6, 16]"
60_4,"[13, 10, 1, 4, 18]"
60_5,"[19, 3, 6, 12, 1]"
60_6,"[5, 18, 2, 8, 1]"
60_7,"[3, 2, 19, 13, 4]"
60_8,"[1, 14, 7, 12, 13]"
60_9,"[11, 8, 12, 10, 14]"
60_10,"[17, 15, 1, 9, 20]"
61_0,"[10, 13, 4, 11, 16]"
61_1,"[14, 1, 11, 2, 18]"
61_2,"[12, 1, 11, 7, 9]"
61_3,"[3, 2, 19, 13, 4]"
61_4,"[14, 1, 11, 2, 18]"
61_5,"[9, 17, 12, 13, 15]"
61_6,"[15, 18, 17, 6, 16]"
61_7,"[12, 1, 11, 7, 9]"
61_8,"[11, 8, 12, 10, 14]"
61_9,"[5, 18, 2, 8, 1]"
61_10,"[11, 8, 12, 10, 14]"
62_0,"[10, 13, 4, 11, 16]"
62_1,"[3, 2, 19, 13, 4]"
62_2,"[20, 17, 6, 9, 7]"
62_3,"[13, 10, 1, 4, 18]"
62_4,"[7, 1, 18, 12, 2]"
62_5,"[6, 18, 19, 15, 17]"
62_6,"[1, 14, 7, 12, 13]"
62_7,"[16, 1, 10, 15, 12]"
63_0,"[1, 14, 7, 12, 13]"
63_1,"[8, 11, 18, 5, 2]"
63_2,"[15, 18, 17, 6, 16]"
63_3,"[9, 17, 12, 13, 15]"
